"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"18/05/2026","651,09","648,51","651,09","632,19","8,69B","-1,03%"
"13/05/2026","657,88","663,93","665,05","656,27","6,19B","-1,79%"
"12/05/2026","669,84","670,06","672,87","658,47","6,41B","0,18%"
"11/05/2026","668,63","674,70","677,35","662,24","8,79B","-1,26%"
"08/05/2026","677,18","693,80","696,97","677,18","12,57B","-2,39%"
"07/05/2026","693,79","690,31","695,37","686,59","8,67B","1,62%"
"06/05/2026","682,76","685,06","688,59","680,09","9,09B","0,17%"
"05/05/2026","681,58","673,76","685,29","669,74","13,06B","1,04%"
"04/05/2026","674,56","671,55","680,03","671,42","31,55B","0,78%"
"30/04/2026","669,34","683,65","684,60","663,30","16,27B","-2,16%"
"29/04/2026","684,14","684,88","689,47","681,30","11,15B","0,27%"
"28/04/2026","682,32","688,50","691,28","679,31","5,12B","-0,64%"
"27/04/2026","686,74","693,08","698,41","686,74","7,28B","-0,58%"
"24/04/2026","690,76","715,75","716,63","689,43","10,66B","-3,51%"
"23/04/2026","715,88","737,39","740,16","715,88","9,45B","-2,73%"
"22/04/2026","735,97","736,01","743,14","735,45","7,11B","-1,04%"
"21/04/2026","743,67","748,85","750,96","740,27","9,80B","-1,61%"
"20/04/2026","755,84","760,70","764,60","752,79","9,69B","-0,40%"
"17/04/2026","758,87","758,47","762,13","756,30","5,02B","0,20%"
"16/04/2026","757,32","762,69","766,97","754,24","6,48B","-0,35%"
"15/04/2026","759,95","772,22","775,49","758,95","9,49B","-0,57%"
"14/04/2026","764,32","756,45","765,75","755,57","11,08B","2,41%"
"13/04/2026","746,35","741,19","748,94","734,14","9,01B","-0,02%"
"10/04/2026","746,47","737,73","748,98","736,95","9,09B","1,71%"
"09/04/2026","733,90","728,57","734,86","722,39","6,73B","0,04%"
"08/04/2026","733,62","724,27","734,76","718,63","15,10B","4,56%"
"07/04/2026","701,66","707,35","708,80","698,88","7,06B","-0,86%"
"06/04/2026","707,76","711,53","712,39","702,89","10,27B","-0,95%"
"02/04/2026","714,58","725,47","727,89","713,10","6,69B","-1,68%"
"01/04/2026","726,79","727,59","733,15","723,22","10,08B","1,53%"
"31/03/2026","715,81","720,65","725,13","713,71","7,27B","-0,23%"
"30/03/2026","717,49","707,96","720,82","702,03","8,45B","-0,21%"
"27/03/2026","718,96","726,89","729,20","717,88","6,37B","-1,74%"
